NAME;DESCRIPTION;TIRRko_replicate1;TIRR_replicate2;Ct_replicate1;Ct_replicate2
NUDT16L1;1;0,0000;0,0000;568,9630;1137,9400
MDM1;1;315,0720;242,7060;18,6534;0,0000
TRIM27;1;1189,8000;79,9733;56,2122;0,0000
ENPP4;5;4389,7700;2886,5100;343,9200;0,0000
AKR1B10;3;1107,3700;753,1190;91,5793;0,0000
SDPR;8;5486,8200;3696,8600;533,8920;0,0000
AKR1C3;19;15030,5000;10225,6000;1049,4000;464,8240
C17orf104;1;414,6880;317,5540;51,0706;0,0000
ICAM1;2;484,6350;324,2210;60,0225;0,0000
MBP;5;1846,6300;1264,2900;254,2340;8,6361
PALM;2;465,2300;287,3120;70,9670;0,0000
CRYAB;1;1119,3000;765,0210;191,7540;0,0000
KRT14;2;264,9750;192,2690;59,9308;0,0000
NES;8;2921,3200;2054,3400;656,7940;43,8777
ARHGEF6;1;516,0570;186,0560;102,4480;0,0000
C1orf144;1;1234,7100;275,2780;222,4940;0,0000
GSTM3;17;9831,1400;7007,7400;2066,0200;444,2000
RECQL4;1;228,9760;77,1666;46,4888;0,0000
EGFL7;1;169,1260;121,7170;45,6450;0,0000
ZNF185;7;3275,0500;2325,0200;673,6660;205,6860
CTSZ;5;2327,9400;1663,4000;578,0820;53,9912
CLEC3B;1;915,3830;183,2100;176,9980;0,0000
APBB1IP;4;1202,9200;866,9750;275,3160;61,5527
PFN2;1;973,6350;735,1360;294,2820;0,0000
KAZN;2;460,5130;312,7150;134,8570;0,0000
MSMP;1;295,8870;210,2950;92,4349;0,0000
KRT9;21;13904,7000;10212,8000;3607,8100;803,7190
CNN1;4;2361,6200;1798,7800;709,4890;57,0708
TRIP6i2;1;372,2290;130,5400;94,7713;0,0000
HSPA12A;8;2938,2400;2208,1900;849,8880;129,4990
CTSF;3;521,1750;393,9050;140,1190;34,3600
UBA52;1;1496,7900;1085,6000;553,1880;0,0000
COX17;1;250,5180;195,2130;81,0107;16,0672
NUP93;1;1294,5600;972,9130;498,5860;0,0000
SOD3;3;1013,1300;738,1060;269,9440;115,8810
KCTD20;7;3690,2000;2777,9500;1238,1000;191,4680
APOC2;1;1212,1500;906,1820;469,3080;0,0000
ICA1;1;307,0850;111,5030;96,0479;0,0000
ARHGDIB;4;2459,2900;1948,1500;932,7390;181,2990
TUBA4A;10;7116,9600;5506,7200;2578,8600;619,7580
MT1DP;1;162,1670;129,0480;41,8354;32,9355
PTGR1;19;11130,3000;8540,3600;3862,7900;1228,5500
GSTM4;3;618,3800;482,2930;226,0690;63,6568
PIR;20;6459,9100;4976,2700;2303,7800;762,1320
SERPINB1;7;2634,6300;1981,8000;908,5810;349,2040
LIMS2;1;97,8910;80,6318;49,0884;0,0000
NQO1;29;13138,6000;9393,0500;4844,5600;1424,0000
FAM168A;4;575,2820;465,7370;219,6680;71,0152
MS4A4A;1;1176,6200;905,0640;441,2700;144,6830
FAM168B;2;642,9460;564,1660;259,6220;82,2261
HCLS1;1;103,5430;73,2982;50,1735;0,0000
PLA2G12A;1;597,8740;486,3730;319,2210;0,0000
PCDHB8;4;629,8550;471,5500;266,2600;58,3505
FSIP1;1;210,4940;141,7650;79,2208;25,1308
IFI30;1;499,0180;383,4810;180,8700;82,1363
SS18;7;5363,2400;4080,0000;2060,0400;803,9570
SOD1;22;25111,4000;14576,5000;8821,2400;3540,6900
DES;4;2714,7300;2217,8400;1303,4800;283,1850
BTBD1;3;547,5120;385,4940;214,4920;88,0468
NEDD8;5;4241,4300;2837,8900;2086,7800;225,2140
TXN;60;35350,1000;22707,0000;12984,2000;6055,8100
STMN1;46;33126,3000;19449,5000;10770,3000;6763,3300
AKR1B1;23;15402,7000;12132,4000;6841,0000;2357,5200
MATN2;2;1921,7500;1415,2600;823,4070;302,5810
NBPF7;2;1977,1900;1515,7400;778,6860;426,5000
COL11A1;4;1078,4700;747,7180;472,3750;160,0120
