NAME;K1;K2;N1;N2;;
ABI1;7351,89;7318,84;6800,21;6509,59;;0,130086725
ACTB;172067;132781;126287;128745;;0,424488491
ACTN1;38530,4;39343,6;42014,1;45505,4;;0,206438566
AHNAK;568730;474547;473702;452962;;0,426031956
AKAP2;16620,1;17658,8;17113,2;16277,8;;0,576621921
ALDH18A1;10853,1;13665,9;15026,7;16277,3;;0,212507176
ANAPC5;2771,32;2500,02;2471,28;2424,31;;0,393083213
ANKHD1;3515,74;3296,5;3016,76;2928,25;;0,120647577
ANXA6;37568,3;33126;29516,8;25083;;0,124339472
AP2A2;12170,4;12725,2;12654,3;12997,2;;0,385833548
ARFIP1;6494,79;5951,55;6456,48;6999,33;;0,31920217
ARHGAP21;3800,89;3642,13;3316,64;3152,45;;0,050937211
ASAP2;6701,04;6426,11;5865,74;5265,06;;0,142732566
ASPH;28798,8;24598,8;20036,7;16076,4;;0,096182344
ATP5C1;5335,55;5493,05;6014,85;6464,42;;0,139131408
ATRX;2272,18;3065,36;3567,94;4176,31;;0,1461053
BAG3;15175,3;12848,9;9518,97;7152,58;;0,075879292
BCCIP;3453,91;3815,89;3738,57;3946,79;;0,446307632
BECN1;3656,36;3571,08;3652,91;3732,38;;0,308959326
C18orf25;2483,87;3303,79;3572,38;3953,47;;0,244414891
C1orf144;2916,38;2938,4;2602,31;2543,47;;0,031155236
CACNA2D1;9563,97;15945,8;33511,3;48063,3;;0,120324913
CALD1;32166,8;26615,8;24121,7;22414,1;;0,249573631
CALU;31676;25237,3;25075,6;24789,7;;0,471011323
CAP1;31937,5;22516,5;19894,3;18783,2;;0,339673065
CAST;19412,4;19869,8;19259,6;20246,5;;0,862634846
CBFB;6329,05;5877,7;5110,5;4459,96;;0,092921037
CC2D1B;4474,29;5187,05;5113,54;5155,78;;0,550148492
CD46;2362,06;2792,48;3040,72;3268,43;;0,17971985
CDC42;5675,39;5176,41;4422,43;3875,28;;0,075649733
CDK1;7929,82;7435,51;7099,57;6865,56;;0,172584702
CEP135;625,307;522,067;469,331;436,163;;0,23317092
CEP170;20187,8;25966,9;33459,7;40030,2;;0,090838926
CEP89;1636,47;1786,21;1976,87;2362,03;;0,221786332
CHMP1A;3230,56;2968,4;2930,76;2899,37;;0,390820742
CNBP;3702,25;3374,28;2515,95;1704,29;;0,139184706
CNTLN;1795,26;1493,65;626,236;612,605;;0,092429197
COL8A1;5494,65;6884,04;8644,29;10307,8;;0,097320527
CPSF4;4038,11;3745,83;3436,68;3205,63;;0,098103087
CRK;7777,75;7457,6;6492,23;5515,31;;0,160067039
CRKL;13681,2;12528,3;10141,9;9296,16;;0,049287447
CRYBG3;4167,2;4474,51;4476,33;4489,08;;0,483267303
CSDA;5451,87;5465,42;8224,92;8842,72;;0,063620238
CSDE1;13863;17044,4;18401,3;19543,1;;0,24327411
CSRP1;7524,26;6202,9;5229,88;4743,76;;0,184128649
CUX1;6208,25;7345,3;7987,52;8454,24;;0,203717277
CYP51A1;4393,27;7028,51;9417,97;11636,1;;0,11108502
DBN1;27188,8;20424,7;16498,5;13407,7;;0,191781917
DFFA;4348,55;3880,15;3457,5;2610,54;;0,189991399
DLC1;3883,7;3728,05;3803,13;3657,97;;0,552731023
DMAP1;448,277;733,612;809,793;844,385;;0,342818074
DNAJA3;3792,12;4403,83;4831,58;5241,89;;0,143120713
DNAJB11;8237,68;8846,42;9434,54;10555,4;;0,186731137
DNAJB6;2124,77;1991,4;1994,29;2136,01;;0,94874769
DNM1L;7576,92;11430,7;16987,7;22328;;0,102295422
DNM2;13499,3;15357,3;16440,3;17374,7;;0,183035975
DST;26041,6;30947;31975,7;34036,3;;0,288570808
DYNC1I2;14776,1;14480,4;12900,4;12013,4;;0,101261335
EIF2B4;2937,77;2743,21;2957,02;2766,37;;0,890576228
EIF2S1;11440,3;14085,7;13838,8;13926,6;;0,552712986
EIF4G3;16585,6;18819,1;20775,2;22890,4;;0,11554809
EPB41L1;8149,21;7089,01;5742,68;4574,11;;0,090303127
EPB41L2;29129,5;28466,9;28079,3;24405,6;;0,391271633
ERCC6;3376,58;3035,59;2627,62;2226,01;;0,10084141
ERGIC1;3489,59;3730,54;4064,69;4341,8;;0,086055105
ESYT2;4429,07;5738,33;6696,06;7824,7;;0,130746731
EXOC5;6317,47;6658,91;6856,48;7367,27;;0,197749132
FBLIM1;11441;9603,93;7757,59;6640,29;;0,114580976
FDXR;10556,8;10271,3;10814,5;11085,5;;0,112872545
FGFR1OP2;2553,86;3505,45;3529,42;3563,37;;0,473594842
FKBP15;7290,11;8239,67;8891,14;8322,97;;0,293216316
FKBP8;5535,6;6840,99;6881,08;6824,88;;0,494004113
FLII;16447,5;14555,3;13126,6;10412,8;;0,167672508
FMNL2;2037,85;2029,95;2373,23;2621,16;;0,166127212
FOSL1;2826,56;3296,42;3902,46;4583,63;;0,118686824
FUBP1;30835,4;24252,2;20557,9;17609,5;;0,196960583
