NAME	DESCRIPTION	K1	K2	N1	N2
ABI1	25	7351.89	7318.84	6800.21	6509.59
ACTB	568	172067	132781	126287	128745
ACTN1	136	38530.4	39343.6	42014.1	45505.4
AHNAK	1102	568730	474547	473702	452962
AKAP2	66	16620.1	17658.8	17113.2	16277.8
ALDH18A1	57	10853.1	13665.9	15026.7	16277.3
ANAPC5	10	2771.32	2500.02	2471.28	2424.31
ANKHD1	22	3515.74	3296.5	3016.76	2928.25
ANXA6	81	37568.3	33126	29516.8	25083
AP2A2	43	12170.4	12725.2	12654.3	12997.2
ARFIP1	22	6494.79	5951.55	6456.48	6999.33
ARHGAP21	15	3800.89	3642.13	3316.64	3152.45
ASAP2	25	6701.04	6426.11	5865.74	5265.06
ASPH	68	28798.8	24598.8	20036.7	16076.4
ATP5C1	15	5335.55	5493.05	6014.85	6464.42
ATRX	14	2272.18	3065.36	3567.94	4176.31
BAG3	47	15175.3	12848.9	9518.97	7152.58
BCCIP	24	3453.91	3815.89	3738.57	3946.79
BECN1	14	3656.36	3571.08	3652.91	3732.38
C18orf25	12	2483.87	3303.79	3572.38	3953.47
C1orf144	10	2916.38	2938.4	2602.31	2543.47
CACNA2D1	85	9563.97	15945.8	33511.3	48063.3
CALD1	73	32166.8	26615.8	24121.7	22414.1
CALU	73	31676	25237.3	25075.6	24789.7
CAP1	69	31937.5	22516.5	19894.3	18783.2
CAST	72	19412.4	19869.8	19259.6	20246.5
CBFB	18	6329.05	5877.7	5110.5	4459.96
CC2D1B	19	4474.29	5187.05	5113.54	5155.78
CD46	6	2362.06	2792.48	3040.72	3268.43
CDC42	13	5675.39	5176.41	4422.43	3875.28
CDK1	26	7929.82	7435.51	7099.57	6865.56
CEP135	3	625.307	522.067	469.331	436.163
CEP170	95	20187.8	25966.9	33459.7	40030.2
CEP89	7	1636.47	1786.21	1976.87	2362.03
CHMP1A	8	3230.56	2968.4	2930.76	2899.37
CNBP	10	3702.25	3374.28	2515.95	1704.29
CNTLN	3	1795.26	1493.65	626.236	612.605
COL8A1	21	5494.65	6884.04	8644.29	10307.8
CPSF4	11	4038.11	3745.83	3436.68	3205.63
CRK	27	7777.75	7457.6	6492.23	5515.31
CRKL	35	13681.2	12528.3	10141.9	9296.16
CRYBG3	23	4167.2	4474.51	4476.33	4489.08
CSDA	21	5451.87	5465.42	8224.92	8842.72
CSDE1	58	13863	17044.4	18401.3	19543.1
CSRP1	18	7524.26	6202.9	5229.88	4743.76
CUX1	30	6208.25	7345.3	7987.52	8454.24
CYP51A1	25	4393.27	7028.51	9417.97	11636.1
DBN1	97	27188.8	20424.7	16498.5	13407.7
DFFA	12	4348.55	3880.15	3457.5	2610.54
DLC1	16	3883.7	3728.05	3803.13	3657.97
DMAP1	6	448.277	733.612	809.793	844.385
DNAJA3	17	3792.12	4403.83	4831.58	5241.89
DNAJB11	28	8237.68	8846.42	9434.54	10555.4
DNAJB6	7	2124.77	1991.4	1994.29	2136.01
DNM1L	52	7576.92	11430.7	16987.7	22328
DNM2	49	13499.3	15357.3	16440.3	17374.7
DST	113	26041.6	30947	31975.7	34036.3
DYNC1I2	52	14776.1	14480.4	12900.4	12013.4
EIF2B4	15	2937.77	2743.21	2957.02	2766.37
EIF2S1	49	11440.3	14085.7	13838.8	13926.6
EIF4G3	71	16585.6	18819.1	20775.2	22890.4
EPB41L1	20	8149.21	7089.01	5742.68	4574.11
EPB41L2	79	29129.5	28466.9	28079.3	24405.6
ERCC6	14	3376.58	3035.59	2627.62	2226.01
ERGIC1	13	3489.59	3730.54	4064.69	4341.8
ESYT2	28	4429.07	5738.33	6696.06	7824.7
EXOC5	26	6317.47	6658.91	6856.48	7367.27
FBLIM1	33	11441	9603.93	7757.59	6640.29
FDXR	33	10556.8	10271.3	10814.5	11085.5
FGFR1OP2	11	2553.86	3505.45	3529.42	3563.37
FKBP15	29	7290.11	8239.67	8891.14	8322.97
FKBP8	25	5535.6	6840.99	6881.08	6824.88
FLII	40	16447.5	14555.3	13126.6	10412.8
FMNL2	7	2037.85	2029.95	2373.23	2621.16
FOSL1	12	2826.56	3296.42	3902.46	4583.63
FUBP1	75	30835.4	24252.2	20557.9	17609.5
FXR1	42	9506.43	10685.3	11567.2	12768.7
G3BP2	39	9431.86	10486.3	11272.9	12581.7
GAPDH	295	67585.4	67759.6	99080.1	127677
GDF6	2	43.4004	629.558	1715.36	2782.8
GFPT2	9	2788.03	3441.98	3755.48	4197.18
GLS	31	7797.27	7604.85	7362.97	7427.68
GOLGA2	52	9745.26	12453.3	13097.3	14036
GOLGA4	135	50215.6	49245.1	47807.7	45000.1
GOLGB1	211	52901.4	60265.8	64000.6	66545.2
