lab       NUDT16L1  MDM1      TRIM27    ENPP4     AKR1B10   SDPR      AKR1C3    C17orf104 ICAM1     MBP       PALM      CRYAB     KRT14     NES       ARHGEF6   C1orf144  GSTM3     RECQL4    EGFL7     ZNF185    CTSZ      CLEC3B    APBB1IP
k              0.000   315.072  1189.800  4389.770  1107.370  5486.820 15030.500   414.688   484.635  1846.630   465.230  1119.300   264.975  2921.320   516.057  1234.710  9831.140   228.976   169.126  3275.050  2327.940   915.383  1202.920
k              0.000   242.706    79.973  2886.510   753.119  3696.860 10225.600   317.554   324.221  1264.290   287.312   765.021   192.269  2054.340   186.056   275.278  7007.740    77.167   121.717  2325.020  1663.400   183.210   866.975
n            568.963    18.653    56.212   343.920    91.579   533.892  1049.400    51.071    60.023   254.234    70.967   191.754    59.931   656.794   102.448   222.494  2066.020    46.489    45.645   673.666   578.082   176.998   275.316
n           1137.940     0.000     0.000     0.000     0.000     0.000   464.824     0.000     0.000     8.636     0.000     0.000     0.000    43.878     0.000     0.000   444.200     0.000     0.000   205.686    53.991     0.000    61.553
PFN2      KAZN      MSMP      KRT9      CNN1      TRIP6i2   HSPA12A   CTSF      UBA52     COX17     NUP93     SOD3      KCTD20    APOC2     ICA1      ARHGDIB   TUBA4A    MT1DP     PTGR1     GSTM4     PIR       SERPINB1  LIMS2     NQO1
   973.635   460.513   295.887 13904.700  2361.620   372.229  2938.240   521.175  1496.790   250.518  1294.560  1013.130  3690.200  1212.150   307.085  2459.290  7116.960   162.167 11130.300   618.380  6459.910  2634.630    97.891 13138.600
   735.136   312.715   210.295 10212.800  1798.780   130.540  2208.190   393.905  1085.600   195.213   972.913   738.106  2777.950   906.182   111.503  1948.150  5506.720   129.048  8540.360   482.293  4976.270  1981.800    80.632  9393.050
   294.282   134.857    92.435  3607.810   709.489    94.771   849.888   140.119   553.188    81.011   498.586   269.944  1238.100   469.308    96.048   932.739  2578.860    41.835  3862.790   226.069  2303.780   908.581    49.088  4844.560
     0.000     0.000     0.000   803.719    57.071     0.000   129.499    34.360     0.000    16.067     0.000   115.881   191.468     0.000     0.000   181.299   619.758    32.936  1228.550    63.657   762.132   349.204     0.000  1424.000
FAM168A   MS4A4A    FAM168B   HCLS1     PLA2G12A  PCDHB8    FSIP1     IFI30     SS18      SOD1      DES       BTBD1     NEDD8     TXN       STMN1     AKR1B1    MATN2     NBPF7     COL11A1   FHL1      CPNE8     SS18L1    TNC       ANAPC5
   575.282  1176.620   642.946   103.543   597.874   629.855   210.494   499.018  5363.240 25111.400  2714.730   547.512  4241.430 35350.100 33126.300 15402.700  1921.750  1977.190  1078.470  4416.690  1309.010   984.631 11577.100  2146.800
   465.737   905.064   564.166    73.298   486.373   471.550   141.765   383.481  4080.000 14576.500  2217.840   385.494  2837.890 22707.000 19449.500 12132.400  1415.260  1515.740   747.718  3513.730  1013.710   792.900  9150.670  1670.750
   219.668   441.270   259.622    50.174   319.221   266.260    79.221   180.870  2060.040  8821.240  1303.480   214.492  2086.780 12984.200 10770.300  6841.000   823.407   778.686   472.375  2043.800   554.097   409.365  5354.480   991.654
    71.015   144.683    82.226     0.000     0.000    58.351    25.131    82.136   803.957  3540.690   283.185    88.047   225.214  6055.810  6763.330  2357.520   302.581   426.500   160.012   739.181   267.282   221.253  2007.070   381.050
MYL9      MTERFD2   MPP1      YAP1      LRRFIP1   CNBP      FABP5     FHL2      KRT86     FHL3      CNTLN     SYCP2     NFASC     HMGA1     TPM2      PRDX1     PPL       NHP2      H2AFY2    MGLL      SULT1A3   NNT       ENY2      FBLIM1
  7964.280  3467.650  5851.400  1288.960  5068.430   439.129 18110.200 26135.600   581.942  7551.910  1795.260   628.765   762.992  5276.870  6862.710 66898.700 11006.200  5180.460  1824.050  2073.870   137.078   231.323  3448.540  2231.920
  6024.470  1934.820  4552.900   920.223  4143.950   339.088 14418.000 19154.500   454.537  6072.530  1493.650   456.302   555.085  4482.160  4090.350 38856.900  8637.600  2991.790  1439.480  1698.940   100.354   177.129  2533.620  1798.780
  3498.030  1699.490  2507.740   552.331  2608.780   199.915  8208.960 11322.200   241.960  3450.220   626.236   287.143   326.806  2641.170  2512.140 24997.700  5084.330  2494.150  1169.750   900.902    58.446   116.688  1877.500  1103.910
  1566.560   269.902  1312.630   259.869   819.115    90.916  3960.550  5691.660   147.547  1670.940   612.605   125.771   178.873  1117.170  1709.070 16036.100  2561.730   699.915   106.034   584.610    35.077    44.788   487.617   493.286
KRT5      MAP2      CAPS      WDR19     OAS3      C19orf63  GPR143    MAP2      NUDT10    CHURC1    FST       SRXN1     AHSG      G6PD      PDLIM1    TUBA3C    HIVEP1    C16orf87  IFT20     UCHL1     S100A11   NFE2L2    MAP1A     TPM4
   449.296 24526.400   563.447  1562.660  2674.870   910.305  1070.720   634.156  3014.250  1575.120  5585.030  4134.110  3331.470 32552.100 18863.200  5532.090   225.445   403.630  1231.950  5482.220 11814.300   202.436 22912.200 16495.600
   343.534 19437.900   440.360  1275.570  2025.420   668.279   874.384   522.804  2389.210  1236.140  4421.610  3365.290  1846.590 26350.800 13889.400  2338.280    90.567   316.891   763.626  4424.510  8768.820   155.181 18314.100 10871.800
   211.759 12330.300   271.974  1057.320  1221.910   452.722   496.134   299.463  1638.210   758.512  2754.060  1946.500  1197.940 16158.100  8547.730  1661.500    95.787   202.915   617.249  3066.420  5760.570    94.311 11325.400  7078.970
   102.838  5283.520   134.506    96.025   710.751   199.263   307.402   181.694   609.140   419.697  1441.730  1209.620   987.790  8763.790  5310.110  1678.390    38.368   103.667   233.919  1162.220  3056.560    59.288  6408.320  4695.320
CORO2B    GBP2      CBX3      ADA       CD97      CMC1      DAP       AHNAK     TCEAL3    DHFRL1    KCTD9     ITGA4     HMGB1     MAMDC2    HSPB8     CNN2      FLYWCH2   EIF5A     TIMM8A    CHMP4B    TAGLN     HBXIP     IRS1      UBQLN3
  3369.290  1015.820 16651.000  4785.250 10225.200  3371.960  1382.880  1231.870  8128.800  1697.460  1810.460  6929.370 10792.400   262.036  5077.780 28145.200  4189.720 36799.200  2633.770 14229.600 45159.900   562.865  2449.980  3101.010
  2716.550   795.898 10056.900  3727.700  5291.490  2598.110  1134.580  1020.640  6290.740  1385.660  1376.290  5624.670  8792.080   207.601  4159.560 20228.100  3389.610 22387.200  2143.570  9939.630 29625.900   428.154  1832.250  2608.670
  1709.030   487.087  7001.930  2253.050  3692.020  1864.960   699.526   600.386  4389.540   837.856   921.463  3566.070  5609.990   137.028  3077.150 14524.500  2182.410 16615.800  1807.880  7241.710 21000.800   288.956  1206.740  1862.720
   918.827   295.814  4570.250  1456.300  3074.280   738.603   411.221   394.182  1989.070   529.361   494.176  2050.180  3204.130    75.226  1114.240  7499.420  1272.020 10458.200   381.462  3868.110 13688.400   173.387   792.926   804.715
LTF       PFN1      TPM2      NUDT4     TXNRD1    RAD23B    GPR56     POLR2K    ZNRD1     TAGLN2    RALGAPA1  CCDC150   HDHD2     VGLL3     EIF4EBP1  NCAM2     TPT1      KRT1      PSMF1     HLA-B     TGFBRAP1  EXOC5     RPS12     USP33
  1637.050 51075.800 55759.100   551.977 27598.700 13468.500   931.656   279.208  1207.950 54808.400  2102.870  1671.930  4697.260   373.074  1476.550  1240.820 36971.400 14590.900  5714.210   322.927   256.602  1796.210 26525.400  2106.870
