Protein Id	Gene Symbol	Description	Group ID	Number of peptides	Collapsed?	Ct_replicate1	TIRRko_replicate1	Ct_replicate2	TIRR_replicate2	Average_ct	Average_TIRR	TIRRdel/ct	log2(TIRR/ct)
sp|Q9BRJ7|SDOS_HUMAN	NUDT16L1	 Protein syndesmos OS=Homo sapiens GN=NUDT16L1 PE=1 SV=1	4135	1	C	568.963	0	1137.94	0	853.4515	0	0	#NUM!
sp|Q8TC05-2|MDM1_HUMAN	MDM1	 Isoform 2 of Nuclear protein MDM1 OS=Homo sapiens GN=MDM1	7064	1	C	18.6534	315.072	0	242.706	9.3267	278.889	29.90221622	4.902180509
##sp|P14373-2|TRI27_HUMAN	TRIM27	 Isoform Beta of Zinc finger protein RFP OS=Homo sapiens GN=TRIM27	4881	1	C	56.2122	1189.8	0	79.9733	28.1061	634.88665	22.58892731	4.497543858
sp|Q9Y6X5|ENPP4_HUMAN	ENPP4	 Ectonucleotide pyrophosphatase/phosphodiesterase family member 4 OS=Homo sapiens GN=ENPP4 PE=1 SV=3	6314	5	C	343.92	4389.77	0	2886.51	171.96	3638.14	21.15689695	4.40305614
sp|O60218|AK1BA_HUMAN	AKR1B10	 Aldo-keto reductase family 1 member B10 OS=Homo sapiens GN=AKR1B10 PE=1 SV=2	6246	3	C	91.5793	1107.37	0	753.119	45.78965	930.2445	20.31560626	4.344516513
sp|O95810|SDPR_HUMAN	SDPR	 Serum deprivation-response protein OS=Homo sapiens GN=SDPR PE=1 SV=3	4437	8	C	533.892	5486.82	0	3696.86	266.946	4591.84	17.20138155	4.104452537
sp|P42330|AK1C3_HUMAN	AKR1C3	 Aldo-keto reductase family 1 member C3 OS=Homo sapiens GN=AKR1C3 PE=1 SV=4	1781	19	C	1049.4	15030.5	464.824	10225.6	757.112	12628.05	16.67923636	4.059981333
sp|A2RUB1-1|CQ104_HUMAN	C17orf104	 Isoform 3 of Uncharacterized protein C17orf104 OS=Homo sapiens GN=C17orf104	7175	1	C	51.0706	414.688	0	317.554	25.5353	366.121	14.33783821	3.841755613
sp|P05362|ICAM1_HUMAN	ICAM1	 Intercellular adhesion molecule 1 OS=Homo sapiens GN=ICAM1 PE=1 SV=2	6674	2	C	60.0225	484.635	0	324.221	30.01125	404.428	13.47587988	3.752307569
sp|P02686-2|MBP_HUMAN	MBP	 Isoform 2 of Myelin basic protein OS=Homo sapiens GN=MBP	6869	5	C	254.234	1846.63	8.63614	1264.29	131.43507	1555.46	11.83443658	3.564919118
sp|O75781-2|PALM_HUMAN	PALM	 Isoform 2 of Paralemmin-1 OS=Homo sapiens GN=PALM	5014	2	C	70.967	465.23	0	287.312	35.4835	376.271	10.60411177	3.406551877
sp|P02511|CRYAB_HUMAN	CRYAB	 Alpha-crystallin B chain OS=Homo sapiens GN=CRYAB PE=1 SV=2	7279	1	C	191.754	1119.3	0	765.021	95.877	942.1605	9.826762414	3.296716176
sp|P02533|K1C14_HUMAN	KRT14	" Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4"	369	2	C	59.9308	264.975	0	192.269	29.9654	228.622	7.629532728	2.931594702
sp|P48681|NEST_HUMAN	NES	 Nestin OS=Homo sapiens GN=NES PE=1 SV=2	4419	8	C	656.794	2921.32	43.8777	2054.34	350.33585	2487.83	7.101271537	2.828077373
sp|Q15052-2|ARHG6_HUMAN	ARHGEF6	 Isoform 2 of Rho guanine nucleotide exchange factor 6 OS=Homo sapiens GN=ARHGEF6	5238	1	C	102.448	516.057	0	186.056	51.224	351.0565	6.853359753	2.77681142
##sp|Q7Z422-3|CA144_HUMAN	C1orf144	 Isoform 3 of UPF0485 protein C1orf144 OS=Homo sapiens GN=C1orf144	6167	1	C	222.494	1234.71	0	275.278	111.247	754.994	6.786645932	2.762698748
sp|P21266|GSTM3_HUMAN	GSTM3	 Glutathione S-transferase Mu 3 OS=Homo sapiens GN=GSTM3 PE=1 SV=3	3530	17	C	2066.02	9831.14	444.2	7007.74	1255.11	8419.44	6.708129168	2.745910469
sp|O94761|RECQ4_HUMAN	RECQL4	 ATP-dependent DNA helicase Q4 OS=Homo sapiens GN=RECQL4 PE=1 SV=1	3705	1	C	46.4888	228.976	0	77.1666	23.2444	153.0713	6.585297964	2.719248719
sp|Q9UHF1|EGFL7_HUMAN	EGFL7	 Epidermal growth factor-like protein 7 OS=Homo sapiens GN=EGFL7 PE=1 SV=3	7046	1	C	45.645	169.126	0	121.717	22.8225	145.4215	6.371847957	2.671711842
sp|O15231-3|ZN185_HUMAN	ZNF185	 Isoform 3 of Zinc finger protein 185 OS=Homo sapiens GN=ZNF185	5937	7	C	673.666	3275.05	205.686	2325.02	439.676	2800.035	6.368405371	2.670932171
sp|Q9UBR2|CATZ_HUMAN	CTSZ	 Cathepsin Z OS=Homo sapiens GN=CTSZ PE=1 SV=1	5826	5	C	578.082	2327.94	53.9912	1663.4	316.0366	1995.67	6.314680009	2.658709628
sp|P05452|TETN_HUMAN	CLEC3B	 Tetranectin OS=Homo sapiens GN=CLEC3B PE=1 SV=3	7176	1	C	176.998	915.383	0	183.21	88.499	549.2965	6.206810246	2.633852041
sp|Q7Z5R6|AB1IP_HUMAN	APBB1IP	 Amyloid beta A4 precursor protein-binding family B member 1-interacting protein OS=Homo sapiens GN=APBB1IP PE=1 SV=1	1162	4	C	275.316	1202.92	61.5527	866.975	168.43435	1034.9475	6.144515653	2.619299293
sp|P35080|PROF2_HUMAN	PFN2	 Profilin-2 OS=Homo sapiens GN=PFN2 PE=1 SV=3	2372	1	C	294.282	973.635	0	735.136	147.141	854.3855	5.806576685	2.537687862
sp|Q674X7-3|KAZRN_HUMAN	KAZN	 Isoform 3 of Kazrin OS=Homo sapiens GN=KAZN	6900	2	C	134.857	460.513	0	312.715	67.4285	386.614	5.733688277	2.519463472
sp|Q1L6U9|MSMP_HUMAN	MSMP	 Prostate-associated microseminoprotein OS=Homo sapiens GN=MSMP PE=1 SV=1	7336	1	C	92.4349	295.887	0	210.295	46.21745	253.091	5.476091822	2.453146638
sp|P35527|K1C9_HUMAN	KRT9	" Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3"	369	21	C	3607.81	13904.7	803.719	10212.8	2205.7645	12058.75	5.466925413	2.450729693
UPSP:K1CX_HUMAN_contaminant		" KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (V"	369	4	C	467.396	1682.92	79.7225	1307.47	273.55925	1495.195	5.465708069	2.450408406
sp|P51911|CNN1_HUMAN	CNN1	 Calponin-1 OS=Homo sapiens GN=CNN1 PE=1 SV=2	1626	4	C	709.489	2361.62	57.0708	1798.78	383.2799	2080.2	5.427365223	2.440251995
tr|F2ZC07|F2ZC07_HUMAN	TRIP6i2	 Thyroid hormone receptor interacting protein 6 isoform 2 OS=Homo sapiens GN=TRIP6i2 PE=4 SV=1	6196	1	C	94.7713	372.229	0	130.54	47.38565	251.3845	5.305076537	2.407373565
sp|O43301|HS12A_HUMAN	HSPA12A	 Heat shock 70 kDa protein 12A OS=Homo sapiens GN=HSPA12A PE=1 SV=2	3002	8	C	849.888	2938.24	129.499	2208.19	489.6935	2573.215	5.254746081	2.393621052
sp|Q9UBX1|CATF_HUMAN	CTSF	 Cathepsin F OS=Homo sapiens GN=CTSF PE=1 SV=1	650	3	C	140.119	521.175	34.36	393.905	87.2395	457.54	5.244642622	2.390844469
sp|P62987|RL40_HUMAN	UBA52	 Ubiquitin-60S ribosomal protein L40 OS=Homo sapiens GN=UBA52 PE=1 SV=2	3408	1	C	553.188	1496.79	0	1085.6	276.594	1291.195	4.668195984	2.222865131
sp|Q14061|COX17_HUMAN	COX17	 Cytochrome c oxidase copper chaperone OS=Homo sapiens GN=COX17 PE=1 SV=2	5979	1	C	81.0107	250.518	16.0672	195.213	48.53895	222.8655	4.591477566	2.198958497
##sp|Q8N1F7|NUP93_HUMAN	NUP93	 Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2	6915	1	C	498.586	1294.56	0	972.913	249.293	1133.7365	4.547807199	2.185171093
sp|P08294|SODE_HUMAN	SOD3	 Extracellular superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD3 PE=1 SV=2	3295	3	C	269.944	1013.13	115.881	738.106	192.9125	875.618	4.538938638	2.182354985
sp|Q7Z5Y7|KCD20_HUMAN	KCTD20	 BTB/POZ domain-containing protein KCTD20 OS=Homo sapiens GN=KCTD20 PE=1 SV=1	5908	7	C	1238.1	3690.2	191.468	2777.95	714.784	3234.075	4.524548675	2.17777389
sp|P02655|APOC2_HUMAN	APOC2	 Apolipoprotein C-II OS=Homo sapiens GN=APOC2 PE=1 SV=1	7238	1	C	469.308	1212.15	0	906.182	234.654	1059.166	4.513735116	2.174321758
tr|E7ENI6|E7ENI6_HUMAN	ICA1	 Uncharacterized protein OS=Homo sapiens GN=ICA1 PE=4 SV=1	6577	1	C	96.0479	307.085	0	111.503	48.02395	209.294	4.358117148	2.123704977
sp|P52566|GDIR2_HUMAN	ARHGDIB	 Rho GDP-dissociation inhibitor 2 OS=Homo sapiens GN=ARHGDIB PE=1 SV=3	2593	4	C	932.739	2459.29	181.299	1948.15	557.019	2203.72	3.956274382	1.984142486
sp|P68366|TBA4A_HUMAN	TUBA4A	 Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=1 SV=1	1419	10	C	2578.86	7116.96	619.758	5506.72	1599.309	6311.84	3.94660444	1.980611928
sp|A1L3X4|MT1DP_HUMAN	MT1DP	 Putative metallothionein MT1DP OS=Homo sapiens GN=MT1DP PE=5 SV=1	6870	1	C	41.8354	162.167	32.9355	129.048	37.38545	145.6075	3.894763872	1.961535865
sp|Q14914|PTGR1_HUMAN	PTGR1	 Prostaglandin reductase 1 OS=Homo sapiens GN=PTGR1 PE=1 SV=2	2945	19	C	3862.79	11130.3	1228.55	8540.36	2545.67	9835.33	3.863552621	1.949928047
sp|Q03013-2|GSTM4_HUMAN	GSTM4	 Isoform 2 of Glutathione S-transferase Mu 4 OS=Homo sapiens GN=GSTM4	3530	3	C	226.069	618.38	63.6568	482.293	144.8629	550.3365	3.799016173	1.925625854
